quote,author
"We cannot direct the wind, but we can adjust the sails.",Dolly Parton
Find out who you are and do it on purpose,Dolly Parton
"If you don't like the road you're walking, start paving another one.",Dolly Parton
You'll never do a whole lot unless you're brave enough to try.,Dolly Parton
I'm not going to limit myself just because people won't accept the fact that I can do something else.,Dolly Parton
I think everybody has the right to be who they are.,Dolly Parton
"We don't make mistakes, just happy little accidents.",Bob Ross
"Talent is a pursued interest. In other words, anything you are willing to practice, you can do.",Bob Ross
"Anything that you try and you don't succeed, if you learn from it, it's not failure.",Bob Ross
What you seek is seeking you.,Rumi
